id,name,price,description
42,GMC,6702.21,Customer-focused tertiary data-warehouse
43,Mitsubishi,3938.52,Digitized object-oriented parallelism
44,Subaru,8893.31,Expanded methodical initiative
45,Chevrolet,6168.89,Function-based web-enabled knowledge base
46,Hyundai,2521.41,Configurable incremental flexibility
47,Buick,1807.05,Enhanced high-level throughput
48,Mazda,9848.24,Team-oriented didactic methodology
49,Volvo,9652.43,De-engineered well-modulated extranet
50,Infiniti,5032.66,Stand-alone 3rd generation core
51,Saab,2274.23,Advanced exuding focus group
52,Chrysler,995.5,Up-sized disintermediate help-desk
53,Chevrolet,6161.5,User-friendly dynamic portal
54,Cadillac,4882.74,Function-based web-enabled function
55,Hyundai,4604.54,Multi-channelled systemic Graphic Interface
56,Saturn,2326.04,Profound scalable ability
57,Hyundai,297.95,Managed high-level framework
58,Honda,2480.54,Universal context-sensitive attitude
59,Nissan,9170.04,Total high-level functionalities
60,Chevrolet,8527.41,Profound high-level forecast
61,Ford,6788.19,Quality-focused executive extranet
62,Ford,5103.53,Customizable coherent functionalities
63,Pontiac,2903.8,Reduced upward-trending throughput
64,Lexus,5134.61,Seamless static array
65,Cadillac,6093.62,Multi-layered executive definition
66,Mazda,4019.59,Robust empowering synergy
67,Morgan,2506.62,Organized heuristic local area network
68,Mazda,5157.34,Polarised zero tolerance firmware
69,Dodge,5759.24,Reverse-engineered web-enabled concept
70,Toyota,3626.31,Persistent non-volatile flexibility
71,GMC,1453.43,Networked motivating projection
72,Suzuki,5603.49,Digitized local emulation
73,Mazda,7931.09,Progressive discrete forecast
74,Toyota,6743.72,Function-based grid-enabled open system
75,Mercedes-Benz,978.33,Monitored dynamic interface
76,Toyota,9856.23,Monitored multimedia access
77,Ford,7069.91,Reduced clear-thinking encryption
78,Chevrolet,4526.21,Team-oriented asynchronous intranet
79,Nissan,3152.56,Devolved heuristic application
80,Chevrolet,1145.18,Total bottom-line structure
81,Lexus,9545.94,Fully-configurable system-worthy framework
82,Chrysler,3725.31,Operative transitional software
83,Lincoln,1064.84,Re-contextualized system-worthy archive
84,Ford,9137.43,Fully-configurable bi-directional forecast
85,Cadillac,5475.53,Persistent discrete middleware
86,Dodge,8653.66,Business-focused bi-directional matrix
87,Eagle,9533.5,Secured fault-tolerant moderator
88,BMW,2168.69,Down-sized empowering circuit
89,Chevrolet,9290.73,Horizontal multi-tasking productivity
90,Toyota,1521.16,Multi-tiered 6th generation orchestration
91,Dodge,8760.82,Assimilated explicit help-desk
92,Scion,7472.68,Diverse real-time forecast
93,Chrysler,9625.88,Front-line zero defect infrastructure
94,Lexus,3369.38,Fundamental stable pricing structure
95,Chrysler,818.27,Synergized reciprocal paradigm
96,Mitsubishi,6635.37,Reactive grid-enabled solution
97,Mazda,5710.39,Managed maximized migration
98,Plymouth,4173.73,Optimized attitude-oriented collaboration
99,Hyundai,6687.48,Mandatory zero tolerance array
100,Chevrolet,7151.48,Visionary 4th generation product
101,Chevrolet,6609.64,Sharable mobile matrix
102,Pontiac,2404.19,Pre-emptive 6th generation database
103,Chevrolet,5046.49,Optional foreground extranet
104,GMC,518.92,Versatile didactic Graphic Interface
105,Chevrolet,4824.56,Cross-platform attitude-oriented frame
106,Mitsubishi,970.24,Implemented national algorithm
107,GMC,5499.15,Exclusive needs-based Graphic Interface
108,Chrysler,3051.01,Customizable user-facing access
109,Buick,3972.11,Stand-alone discrete access
110,GMC,581.86,Right-sized homogeneous alliance
111,Dodge,932.35,Versatile high-level productivity
112,Audi,7979.83,Quality-focused asymmetric complexity
113,Mercedes-Benz,875.39,Re-contextualized transitional array
114,Ford,6959.08,Expanded holistic pricing structure
115,Jeep,153.11,Multi-tiered static Graphical User Interface
116,GMC,2149.78,Synergized cohesive analyzer
117,Mitsubishi,6022.15,Monitored local focus group
118,Dodge,2237.03,Object-based mission-critical help-desk
119,Mercedes-Benz,5351.28,Extended non-volatile encoding
120,Ford,7934.0,Business-focused empowering local area network
121,Corbin,9738.19,Realigned context-sensitive customer loyalty
122,Mitsubishi,6682.18,Programmable solution-oriented support
123,Mitsubishi,9693.45,Function-based hybrid conglomeration
124,GMC,2190.97,Open-source responsive benchmark
125,Mitsubishi,9781.93,Enhanced local emulation
126,Mazda,520.49,Focused interactive product
127,Oldsmobile,9654.57,User-friendly homogeneous firmware
128,Volkswagen,3773.86,Persistent didactic service-desk
129,Volkswagen,6558.19,Re-engineered neutral customer loyalty
130,Dodge,1054.44,Expanded tertiary initiative
131,GMC,4358.71,Cloned zero administration encryption
132,Plymouth,6817.26,Pre-emptive 4th generation internet solution
133,Acura,1144.08,Profit-focused 4th generation internet solution
134,Nissan,1028.19,Organized value-added alliance
135,Volvo,3101.15,Inverse exuding implementation
136,Mercedes-Benz,4128.2,Ameliorated 3rd generation model
137,Ford,3140.46,Implemented value-added knowledge base
138,Ford,9238.12,Balanced dedicated project
139,Ford,3106.67,Reactive contextually-based hardware
140,Jeep,8713.18,Reactive fresh-thinking complexity
141,Mazda,8522.74,Re-contextualized empowering policy
142,Audi,6992.94,Fully-configurable local encryption
143,Chevrolet,373.61,Profound didactic utilisation
144,Dodge,1755.35,Open-source analyzing adapter
145,Toyota,7125.5,Reduced high-level complexity
146,Volkswagen,5908.78,Open-source motivating moderator
147,BMW,9541.35,Distributed secondary matrices
148,Chevrolet,3362.41,Multi-channelled client-driven projection
149,Chevrolet,4804.43,Devolved real-time matrix
150,Toyota,386.13,Advanced object-oriented middleware
151,Porsche,9815.55,Pre-emptive asynchronous installation
152,Suzuki,5158.17,Virtual object-oriented methodology
153,Lincoln,2880.34,Reverse-engineered logistical extranet
154,Land Rover,7129.49,Compatible even-keeled productivity
155,Toyota,5106.97,Synergistic foreground function
156,Ford,1141.1,Digitized clear-thinking conglomeration
157,Ford,2081.02,User-centric coherent attitude
158,Ford,3520.85,Centralized user-facing migration
159,Subaru,5572.24,Programmable client-driven archive
160,Ford,6944.33,Configurable client-driven service-desk
161,Toyota,1218.8,Enhanced tangible flexibility
162,Chevrolet,6213.7,Sharable heuristic groupware
163,Bentley,7709.96,Expanded bi-directional ability
164,Ford,3976.91,Synergized next generation neural-net
165,Mitsubishi,5291.15,Balanced encompassing toolset
166,Ford,7592.35,Multi-channelled responsive attitude
167,Ferrari,8668.68,Integrated eco-centric secured line
168,Cadillac,2614.04,Visionary 24/7 hierarchy
169,Volkswagen,2276.28,Re-contextualized web-enabled knowledge user
170,Ford,9358.19,Polarised object-oriented benchmark
171,Hummer,2135.32,Expanded 24 hour database
172,Chevrolet,5069.24,Down-sized system-worthy hardware
173,Ford,4502.56,Organic exuding secured line
174,Chrysler,1104.07,Polarised secondary Graphical User Interface
175,Lexus,3977.63,Diverse content-based local area network
176,Lexus,3285.05,Cross-group bandwidth-monitored throughput
177,Toyota,8406.55,Extended mission-critical task-force
178,Porsche,241.15,Proactive uniform superstructure
179,Aston Martin,9886.29,Balanced zero administration concept
180,Mitsubishi,671.27,Managed clear-thinking database
181,Mazda,6510.02,Organized bi-directional customer loyalty
182,Audi,3395.3,De-engineered 24/7 emulation
183,Volvo,576.03,Implemented tangible infrastructure
184,Suzuki,4517.54,Up-sized interactive open system
185,Cadillac,1968.24,Re-contextualized dedicated solution
186,Chevrolet,6915.19,Diverse uniform core
187,Ford,4318.18,Self-enabling system-worthy encryption
188,Mercury,7844.82,Phased national service-desk
189,Mazda,1149.73,Fundamental multimedia moderator
190,Maserati,7577.09,Vision-oriented analyzing access
191,BMW,1759.76,Automated mission-critical infrastructure
192,Mazda,5469.85,User-friendly clear-thinking paradigm
193,Kia,8279.77,Profit-focused secondary challenge
194,Pontiac,9952.93,Open-architected client-driven task-force
195,Hyundai,7431.57,Enterprise-wide disintermediate flexibility
196,Dodge,876.79,Compatible discrete firmware
197,Honda,7478.71,Open-source systematic approach
198,GMC,5001.61,Synergized 6th generation success
199,Pontiac,5167.05,Persistent zero administration archive
200,Audi,6297.08,Function-based systemic website
201,Mazda,2788.16,Optional eco-centric protocol
202,Aston Martin,803.3,De-engineered 3rd generation installation
203,Dodge,4204.01,Open-architected grid-enabled functionalities
204,Volkswagen,6695.46,Public-key tertiary firmware
205,Volkswagen,329.52,Customer-focused demand-driven contingency
206,Pontiac,9869.33,Pre-emptive real-time complexity
207,Porsche,8880.15,Organic tangible forecast
208,Dodge,6137.43,Cross-platform intermediate algorithm
209,Ford,1496.16,Centralized client-server model
210,Isuzu,1040.8,Compatible next generation portal
211,Buick,7763.66,Function-based object-oriented synergy
212,Lincoln,3102.18,Quality-focused intangible success
213,Ford,9531.38,Secured explicit instruction set
214,Chrysler,5347.22,Polarised homogeneous encoding
215,Chrysler,1773.03,Public-key regional emulation
216,Ferrari,942.83,Right-sized national infrastructure
217,Mercury,3970.95,Devolved actuating encryption
218,Hyundai,782.13,Re-engineered cohesive paradigm
219,Ford,5309.72,Future-proofed local secured line
220,Maybach,3067.05,Multi-tiered bifurcated ability
221,Hyundai,6176.02,Realigned high-level solution
222,Toyota,8238.72,Adaptive bandwidth-monitored local area network
223,Mitsubishi,7226.09,Right-sized 6th generation circuit
224,Chevrolet,2201.07,Robust asymmetric capacity
225,Toyota,2629.24,Phased fresh-thinking moratorium
226,GMC,1902.01,Sharable bifurcated emulation
227,Ford,3444.08,Total intangible project
228,GMC,553.02,Open-source mobile solution
229,Chevrolet,2162.83,Upgradable 24/7 matrix
230,Volvo,9790.72,Mandatory client-server website
231,Toyota,667.02,Networked next generation core
232,Toyota,3815.28,Switchable 5th generation access
233,Oldsmobile,8071.87,Right-sized secondary process improvement
234,Toyota,1040.05,User-friendly actuating attitude
235,Cadillac,5164.29,Virtual bifurcated frame
236,Chrysler,7558.03,Optional homogeneous product
237,Maserati,4721.84,Object-based solution-oriented installation
238,Mazda,4663.52,Ergonomic contextually-based model
239,Honda,7586.06,Diverse regional Graphic Interface
240,Audi,9744.91,De-engineered directional software
241,Buick,8075.48,Realigned background architecture
242,Lexus,7856.88,Open-source 4th generation structure
243,GMC,9943.1,Down-sized contextually-based ability
244,Suzuki,1233.12,Self-enabling object-oriented open architecture
245,Hyundai,3728.23,Centralized 6th generation implementation
246,Volkswagen,5938.72,Exclusive homogeneous contingency
247,Chevrolet,4912.48,Fully-configurable neutral structure
248,GMC,6406.78,Profit-focused impactful structure
249,Eagle,2714.8,Intuitive optimal workforce
250,Toyota,8885.47,Managed web-enabled installation
251,Ford,8669.81,Distributed multi-tasking complexity
252,Mercedes-Benz,172.65,Right-sized methodical emulation
253,Chrysler,3778.39,Extended maximized info-mediaries
254,Ford,3961.09,Configurable cohesive structure
255,Infiniti,7000.58,Cross-group non-volatile info-mediaries
256,Nissan,6219.54,Multi-lateral tangible concept
257,Lincoln,4218.72,Multi-layered multi-state matrix
258,Mazda,6355.07,Grass-roots responsive projection
259,Toyota,2333.81,Phased local knowledge base
260,Acura,9616.67,Persevering intangible orchestration
261,Mercury,3675.27,Open-architected scalable encryption
262,Mazda,512.18,Future-proofed heuristic matrix
263,Volkswagen,3666.68,Horizontal high-level functionalities
264,Acura,3648.16,Diverse didactic attitude
265,Chevrolet,5558.87,Customer-focused web-enabled project
266,Daewoo,6189.46,Team-oriented demand-driven firmware
267,Mitsubishi,5261.7,Exclusive tertiary monitoring
268,Mercedes-Benz,2445.87,Self-enabling bandwidth-monitored forecast
269,Hyundai,4601.06,User-friendly web-enabled framework
270,Saab,1919.5,Ergonomic non-volatile definition
271,Toyota,272.56,Proactive composite moderator
272,Isuzu,3785.18,Face to face mission-critical matrix
273,Chevrolet,9198.91,Visionary coherent Graphic Interface
274,Chevrolet,593.28,Implemented needs-based emulation
275,GMC,775.8,Function-based static time-frame
276,Lincoln,9314.84,Advanced disintermediate contingency
277,Subaru,6105.3,User-friendly tangible data-warehouse
278,Mercury,770.91,Enhanced methodical frame
279,Mitsubishi,2066.47,Reactive foreground capability
280,Mazda,102.28,Compatible homogeneous project
281,Lincoln,2147.42,Team-oriented fresh-thinking success
282,Nissan,6001.05,Phased client-server toolset
283,Pontiac,698.85,Stand-alone full-range collaboration
284,Toyota,3657.91,Intuitive executive archive
285,Mercedes-Benz,9931.25,Sharable coherent function
286,GMC,5578.85,Open-source system-worthy support
287,Dodge,4214.18,Programmable composite hub
288,Chevrolet,7378.43,Organized demand-driven website
289,Mazda,9437.81,Multi-channelled 3rd generation utilisation
290,Lexus,5853.49,Organized intangible open system
291,Buick,8785.69,Synchronised zero administration toolset
292,Cadillac,8336.6,Vision-oriented modular toolset
293,Ford,6778.94,Open-architected motivating secured line
294,Audi,4670.06,Focused zero administration encryption
295,Mitsubishi,2332.56,Advanced mobile protocol
296,Volkswagen,4025.39,Exclusive leading edge policy
297,Jeep,7454.77,Face to face exuding matrices
298,Acura,5913.47,Team-oriented radical challenge
299,Oldsmobile,834.71,Team-oriented fault-tolerant open architecture
300,Hyundai,4784.29,Multi-tiered 4th generation neural-net
301,Volkswagen,3126.91,Synchronised client-driven product
302,Buick,3742.92,Polarised client-driven knowledge base
303,Pontiac,118.2,Focused fresh-thinking throughput
304,Mitsubishi,7914.95,Fundamental homogeneous intranet
305,Hyundai,1990.09,Sharable composite concept
306,Honda,568.7,Optional client-driven database
307,Mercedes-Benz,2332.53,Upgradable 5th generation open architecture
308,Ford,5799.29,Vision-oriented directional toolset
309,Volkswagen,6371.91,Devolved foreground intranet
310,Dodge,5544.54,Total foreground artificial intelligence
311,Toyota,7410.76,Switchable discrete workforce
312,Kia,2108.87,Fundamental asynchronous frame
313,Audi,9981.73,Cross-group encompassing paradigm
314,Isuzu,8743.18,Open-architected mission-critical workforce
315,Ford,8534.09,Integrated intermediate database
316,Mercury,2442.19,Face to face web-enabled hub
317,Mitsubishi,6336.81,Virtual uniform conglomeration
318,Mitsubishi,7752.29,Proactive attitude-oriented knowledge user
319,Maybach,1955.49,Object-based multimedia pricing structure
320,Land Rover,3643.52,Multi-channelled systematic focus group
321,Cadillac,382.09,Centralized neutral help-desk
322,Maserati,5906.82,Horizontal asymmetric alliance
323,BMW,2047.73,Ergonomic methodical hierarchy
324,GMC,3310.19,Fundamental bi-directional data-warehouse
325,Chevrolet,4862.67,Front-line high-level database
326,Dodge,7478.44,Object-based systemic orchestration
327,Volkswagen,5210.61,Reverse-engineered coherent approach
328,Buick,7179.27,Stand-alone human-resource policy
329,Morgan,1716.28,Organized fault-tolerant hub
330,Subaru,3310.7,Total heuristic focus group
331,Ford,1362.16,Realigned system-worthy local area network
332,Mercedes-Benz,4600.31,Vision-oriented clear-thinking secured line
333,Mercedes-Benz,7983.96,Persevering upward-trending concept
334,Suzuki,7484.31,Multi-lateral 5th generation hardware
335,Chevrolet,3679.54,Ameliorated bifurcated capability
336,Chevrolet,462.69,Innovative composite hub
337,Cadillac,4066.61,Decentralized dynamic hardware
338,Infiniti,8388.41,Future-proofed fresh-thinking complexity
339,Toyota,8042.53,Open-source fault-tolerant moratorium
340,Toyota,8675.12,Multi-channelled local application
341,Toyota,2873.92,Managed zero tolerance frame
342,Toyota,180.57,Networked clear-thinking focus group
343,Chevrolet,2971.0,Synchronised object-oriented circuit
344,Pontiac,3036.78,Fundamental tertiary info-mediaries
345,Pontiac,4012.21,Stand-alone intangible archive
346,Pontiac,2741.18,Persevering background application
347,Suzuki,594.36,Seamless 4th generation standardization
348,Pontiac,622.81,Front-line object-oriented architecture
349,Buick,8191.67,Reactive fault-tolerant customer loyalty
350,Aston Martin,6767.84,Upgradable cohesive product
351,Suzuki,1952.76,Monitored client-driven projection
352,Dodge,4970.1,Enhanced eco-centric array
353,Nissan,1128.93,Streamlined optimal matrices
354,Plymouth,264.02,Mandatory intermediate core
355,Infiniti,413.6,Reduced encompassing customer loyalty
356,Dodge,3344.72,Configurable interactive internet solution
357,Dodge,2489.25,Triple-buffered 4th generation infrastructure
358,Lincoln,4826.77,Networked explicit matrix
359,Nissan,7816.21,Monitored regional pricing structure
360,Bentley,8431.59,User-centric eco-centric database
361,Saab,1736.53,Focused foreground system engine
362,Toyota,3548.2,Vision-oriented zero administration adapter
363,Mazda,8143.4,Compatible next generation protocol
364,Ford,9427.03,Open-source modular projection
365,Ford,7001.66,Centralized hybrid monitoring
366,Suzuki,6745.52,Mandatory maximized functionalities
367,Plymouth,7358.28,Advanced 5th generation utilisation
368,Ford,4638.83,Future-proofed content-based throughput
369,BMW,2463.37,Assimilated real-time core
370,Chrysler,8298.68,Decentralized background approach
371,Pontiac,1580.38,Business-focused coherent migration
372,Mitsubishi,4723.0,Secured multi-state conglomeration
373,Mazda,2800.93,Exclusive leading edge approach
374,Bugatti,5614.35,Organized bifurcated internet solution
375,Ford,1670.78,Virtual analyzing structure
376,Ford,7252.89,Cloned maximized focus group
377,Mercedes-Benz,2918.57,Persevering asymmetric open architecture
378,Porsche,9582.56,Horizontal system-worthy structure
379,Toyota,717.17,Assimilated multi-tasking emulation
380,Cadillac,8410.84,Reduced logistical groupware
381,Dodge,4753.5,De-engineered multi-state artificial intelligence
382,Kia,1031.59,Multi-channelled methodical algorithm
383,BMW,1730.46,Re-engineered analyzing framework
384,Ford,9833.03,Front-line coherent hub
385,BMW,9471.57,Robust responsive portal
386,Ford,4006.33,Automated 4th generation infrastructure
387,Mercury,3424.94,Versatile asymmetric standardization
388,Lincoln,7636.4,Inverse incremental complexity
389,Pontiac,3549.35,Re-contextualized tangible array
390,Toyota,1827.89,Distributed maximized adapter
391,Cadillac,9411.44,Multi-channelled real-time circuit
392,Nissan,9750.91,Extended interactive framework
393,BMW,1096.24,Cross-group optimizing workforce
394,Audi,5308.08,Digitized dynamic hardware
395,Ford,6606.45,Object-based client-server circuit
396,BMW,3891.32,Programmable methodical intranet
397,Audi,6481.57,Managed maximized conglomeration
398,BMW,9002.22,Ameliorated impactful local area network
399,GMC,5965.35,Persevering impactful artificial intelligence
400,Mitsubishi,9940.3,Programmable even-keeled budgetary management
401,Dodge,3897.76,Streamlined coherent approach
402,Buick,5521.11,Distributed needs-based ability
403,Suzuki,6310.39,Visionary regional model
404,Honda,5693.11,Upgradable zero administration attitude
405,Mitsubishi,2506.55,Inverse contextually-based alliance
406,Lexus,5934.56,Optional hybrid monitoring
407,Chevrolet,5741.77,Polarised fault-tolerant initiative
408,Chevrolet,8313.64,Customer-focused dynamic architecture
409,Volvo,2344.54,Synergized system-worthy access
410,Bentley,132.15,Versatile zero tolerance focus group
411,Pontiac,7815.83,Grass-roots solution-oriented framework
412,Ford,411.59,Versatile leading edge instruction set
413,GMC,4693.99,Ergonomic incremental ability
414,Ford,3809.05,Front-line clear-thinking task-force
415,Mazda,9027.25,Advanced executive archive
416,Chrysler,3804.0,Organized encompassing knowledge user
417,Maybach,543.98,Function-based systemic complexity
418,Lexus,2063.33,Sharable executive extranet
419,Ford,749.76,Synchronised coherent toolset
420,Ford,7160.77,Adaptive holistic hardware
421,Isuzu,4912.63,Persistent non-volatile collaboration
422,Maybach,7340.39,Multi-channelled cohesive policy
423,GMC,8142.48,Self-enabling needs-based software
424,Dodge,2624.85,Monitored 6th generation ability
425,Saab,3034.09,Ameliorated asymmetric analyzer
426,Volkswagen,9430.74,Inverse scalable secured line
427,Suzuki,1748.66,Automated object-oriented intranet
428,Suzuki,4337.54,Optimized uniform budgetary management
429,Toyota,4512.23,Fully-configurable modular service-desk
430,Nissan,460.79,Face to face 24 hour initiative
431,Volkswagen,8468.44,Configurable 3rd generation software
432,Jaguar,8217.6,Enterprise-wide bi-directional structure
433,Volkswagen,6459.61,Right-sized composite product
434,Honda,8843.72,Profit-focused composite matrices
435,Lexus,5562.08,Realigned interactive encryption
436,Nissan,936.64,Triple-buffered background service-desk
437,Audi,2698.19,Advanced human-resource infrastructure
438,Infiniti,8563.7,Fundamental global service-desk
439,Ferrari,6352.89,Down-sized fault-tolerant customer loyalty
440,Eagle,5656.11,Grass-roots human-resource standardization
441,Saturn,2400.32,Persevering encompassing archive
442,MINI,2310.02,Progressive 24/7 installation
443,Lexus,8259.66,Robust upward-trending standardization
444,Pontiac,7525.65,Face to face interactive circuit
445,Oldsmobile,569.19,Down-sized multi-tasking forecast
446,Mercury,1982.19,Operative encompassing parallelism
447,Cadillac,1308.27,Future-proofed needs-based data-warehouse
448,Dodge,7428.6,Virtual real-time help-desk
449,MINI,596.41,Persevering grid-enabled utilisation
450,Ford,6867.38,Streamlined 6th generation extranet
451,Dodge,3122.24,Virtual executive alliance
452,Dodge,8118.76,Public-key national frame
453,Buick,5946.08,Ameliorated 24/7 protocol
454,Volkswagen,5127.56,Down-sized holistic contingency
455,Mercedes-Benz,2036.41,Open-architected modular paradigm
456,Saturn,6839.4,Vision-oriented high-level circuit
457,Oldsmobile,3265.6,Mandatory stable info-mediaries
458,Lamborghini,4311.49,Profound logistical hierarchy
459,Honda,3539.43,Synergistic discrete workforce
460,Pontiac,4006.76,Profound zero tolerance neural-net
461,Chevrolet,5682.48,Stand-alone national portal
462,Mercedes-Benz,9452.7,Right-sized explicit secured line
463,Suzuki,6393.46,Integrated well-modulated intranet
464,Chevrolet,8693.0,Synchronised asymmetric functionalities
465,Toyota,6489.81,Assimilated 24 hour open architecture
466,Cadillac,6023.38,Profound attitude-oriented throughput
467,Toyota,3902.91,Compatible multi-state budgetary management
468,Volkswagen,5551.77,Exclusive interactive adapter
469,Plymouth,2510.41,Open-source leading edge throughput
470,Mitsubishi,4512.63,Cloned object-oriented capability
471,Volvo,7073.29,Upgradable local migration
472,Ford,7466.03,Monitored methodical firmware
473,Honda,2715.58,Customer-focused human-resource encoding
474,Chevrolet,5473.33,Profit-focused systematic data-warehouse
475,Suzuki,6396.23,Multi-layered zero tolerance solution
476,Aston Martin,6306.56,Focused zero administration array
477,Subaru,3531.88,Devolved tertiary customer loyalty
478,GMC,5265.15,Focused zero tolerance open system
479,GMC,2368.13,Synergistic discrete success
480,Suzuki,7054.52,Cross-group scalable model
481,Audi,4702.63,Synergized 4th generation neural-net
482,Buick,6604.73,Synergistic real-time collaboration
483,Pontiac,7470.3,Enterprise-wide real-time challenge
484,Mercury,7674.75,Visionary holistic contingency
485,Chevrolet,817.69,Object-based 4th generation utilisation
486,Dodge,292.61,Open-architected human-resource circuit
487,Pontiac,8708.61,Persistent solution-oriented support
488,Ford,4978.32,Innovative high-level implementation
489,Toyota,2740.26,Team-oriented eco-centric intranet
490,Dodge,3078.25,Horizontal impactful access
491,Maserati,3167.68,Fundamental incremental hub
492,Lexus,5396.03,Self-enabling heuristic synergy
493,Toyota,2483.88,Enhanced mobile installation
494,Ford,828.28,Focused 24 hour orchestration
495,Mercedes-Benz,683.47,User-centric zero administration orchestration
496,Chrysler,5502.8,Robust user-facing task-force
497,Pontiac,9808.54,Multi-layered didactic leverage
498,Saab,7149.5,Function-based executive paradigm
499,Volkswagen,9057.25,Switchable responsive middleware
500,Volvo,4000.47,Virtual optimal leverage
501,Kia,7423.74,Implemented context-sensitive success
502,Mazda,585.41,Customizable system-worthy open system
503,Audi,8033.97,Profit-focused directional methodology
504,Buick,8467.01,Integrated bottom-line capacity
505,Volvo,1452.27,Public-key cohesive internet solution
506,Eagle,9925.7,Reactive exuding moratorium
507,Bentley,9620.64,Adaptive 3rd generation projection
508,Chevrolet,662.88,Devolved mobile intranet
509,Porsche,1837.97,Innovative foreground product
510,Pontiac,2224.51,Quality-focused coherent workforce
511,Pontiac,566.85,Object-based scalable forecast
512,Subaru,7446.45,Compatible neutral core
513,Buick,9875.94,Multi-lateral actuating task-force
514,Infiniti,3792.93,Future-proofed bi-directional contingency
515,Chrysler,2141.1,Intuitive attitude-oriented adapter
516,Cadillac,1322.25,Team-oriented needs-based portal
517,BMW,1677.19,Monitored empowering migration
518,Dodge,4184.8,Re-engineered needs-based approach
519,BMW,1805.77,Multi-layered optimal paradigm
520,Volkswagen,6842.85,Balanced cohesive application
521,Ford,7615.23,Compatible disintermediate productivity
522,Mazda,263.73,Multi-channelled transitional internet solution
523,Dodge,8226.04,Innovative context-sensitive productivity
524,Ford,6865.42,Upgradable real-time database
525,Mercedes-Benz,5729.98,Realigned grid-enabled collaboration
526,Buick,4978.66,Function-based dynamic data-warehouse
527,Saab,9125.83,Re-engineered secondary superstructure
528,Volkswagen,2126.55,Diverse holistic customer loyalty
529,Infiniti,9927.21,Open-architected multimedia paradigm
530,Mitsubishi,9061.38,Secured multimedia infrastructure
531,Audi,3776.58,Enterprise-wide 4th generation service-desk
532,Suzuki,6752.66,Advanced radical throughput
533,Porsche,546.04,Inverse real-time access
534,Oldsmobile,1401.61,Total optimizing archive
535,Chrysler,6389.28,Universal object-oriented internet solution
536,Dodge,1698.8,Distributed heuristic secured line
537,GMC,8327.86,Front-line national benchmark
538,Porsche,8789.56,Synergized composite infrastructure
539,Mazda,2255.23,Stand-alone discrete hardware
540,Ford,1117.63,Re-engineered uniform moderator
541,Dodge,4190.59,Synergistic neutral framework
542,Porsche,783.96,Cross-group discrete encoding
543,Ferrari,9485.41,Business-focused optimizing concept
544,Ford,4408.51,Focused context-sensitive utilisation
545,GMC,7785.1,Quality-focused zero administration conglomeration
546,Nissan,7902.25,Mandatory composite strategy
547,Pontiac,9347.71,Cross-group non-volatile core
548,Mercury,2641.4,Cross-group transitional standardization
549,Toyota,2649.15,Synchronised methodical parallelism
550,Volvo,9701.24,Total actuating productivity
551,Lexus,4730.3,Fully-configurable bi-directional monitoring
552,Buick,5060.63,Business-focused secondary complexity
553,Volkswagen,286.32,Adaptive empowering flexibility
554,Volvo,8175.2,Implemented attitude-oriented hub
555,GMC,7572.94,Extended holistic encryption
556,Ford,1973.74,Fully-configurable full-range open architecture
557,Chevrolet,1517.23,Extended discrete installation
558,Chevrolet,4084.15,Adaptive dedicated frame
559,Mercedes-Benz,4900.49,Persevering full-range contingency
560,Toyota,4454.59,Pre-emptive human-resource service-desk
